"doc_id","company","funding_rounds","revenue","growth_total","growth_multiple","business_model_text","tweet_volume","score_100","pop_scale"
"bb00443be334273f59d3ef19d169cc24","govdelivery",19700000,10600000,-9100000,0.54,"GovDelivery offers hosted email and digital subscription management services for federal, state, and local government agencies and transportation authorities in the U.S. and some government clients in the U.K. The company's blog reachthepublic.com offers ",439,14.81,6500
"fb79c1faa23e6537889b8b58ca3dbab2","brafton",0,11600000,11600000,,"Provides full-spectrum content marketing services to increase brand authority, website traffic and leads. Brafton's custom content, from news and blogs to infographics and video, is supported by SEO consultancy, social strategies and defined conversion me",155,38.06,5900
"5fae06029bbe793553b81c6aca15d047","acronis",11000000,316000000,305000000,28.73,"Develops disaster recovery, backup, and IT security software used by corporations, small and midsize businesses, and consumers to protect their digital information, maintain business continuity, and reduce downtime. Its products are sold in more than 90 c",41,141.46,5800
"5fae06029bbe793553b81c6acada459a","bandwidth-com",20500000,260800000,240300000,12.72,"Bandwidth.com is a nationwide communications provider offering businesses advanced Internet, VoIP, network, and wireless services.",50,102,5100
"907373444553d8ee3bfe8778cd5f70bc","tradeking",6000000,23100000,17100000,3.85,"TradeKing is a nationally licensed online stock and options brokerage firm offering simple, low trading fees ($4.95 per trade plus $.65 per option contract) with no hidden costs or account minimums. A pioneer in integrating new financial social media as p",60,81.67,4900
"5fae06029bbe793553b81c6acae32f8f","bazaarvoice",19900000,64500000,44600000,3.24,"Provides social commerce software that helps clients capture, display, and analyze online word of mouth, including consumer-generated ratings and reviews, questions and answers, stories, recommendations, photographs, videos and other content about their b",125,36.8,4600
"fb79c1faa23e6537889b8b58ca12ffc0","bizo",16000000,12300000,-3700000,0.77,"Specializes in reaching and engaging business professionals wherever they travel online. It can precisely target more than 100 million professionals around the world, including more than 80 percent of the U.S. business population, enabling it to give clie",75,56,4200
"e054627bc6b1f1d8cb812cce4207bd0a","netsuite",0,67200000,67200000,,"NetSuite offers an online software subscription service that helps small and midsize retailers manage various aspects of their business.",374,11.23,4200
"e054627bc6b1f1d8cb812cce42a84c34","pcg-digital-marketing",0,6000000,6000000,,"A full-service agency that specializes in helping businesses with their online presence to increase traffic, relevancy, and profits.",80,51.25,4100
"5fae06029bbe793553b81c6acab4ee1a","attask",7000000,69300000,62300000,9.9,"Develops project and portfolio management software that increases efficiency for businesses of all sizes.",39,100,3900
"4b9962595d7ff850d591b39c0065b341","emma-email-marketing",0,38200000,38200000,,"They produce beautiful and vibrant email marketing stationary. ... The advantage with their model is you invest time making business decisions",66,59.09,3900
"bb00443be334273f59d3ef19d1306c8a","gemvara",45200000,7400000,-37800000,0.16,"An online retailer of fine jewelry that offers 1,500 original designs that can be customized using 26 gemstones and eight precious metal options.",92,42.39,3900
"c61e6a5dd61ef3ac28d02c864e0974a0","contact-at-once",3000000,10000000,7000000,3.33,"Operates industry-specific merchant networks built around its proprietary website chat software embedded in online ads on landing pages. Its chat tools typically increase by 25 percent the number of online shoppers who initiate contact with its real estat",66,54.55,3600
"597e595b22c7371d2769eb1fa0cff521","lattice-engines",1700000,7500000,5800000,4.41,"Lattice Engines helps customers maximize their return on sales and marketing investments. Its software combines advanced optimization techniques and predictive analytics built on a flexible data integration platform.",56,64.29,3600
"597e595b22c7371d2769eb1fa0f559be","linode",0,33000000,33000000,,"Provides highly customizable, Linux-based virtual servers to companies of all sizes.",199,18.09,3600
"907373444553d8ee3bfe8778cde32437","vibes-media",15000000,29700000,14700000,1.98,"Vibes Media provides mobile applications and marketing services to advertisers and marketing media publishers.",76,46.05,3500
"5fae06029bbe793553b81c6aca8afbe0","appriver",0,65300000,65300000,,"Offers a comprehensive subscription-based software-as-a-service that incorporates spam and virus protection, e-mail encryption, and Web security features.",17,194.12,3300
"83097a0e1641e8eda5b5ac717e28b94b","magic-logix",0,2000000,2000000,,"Magic Logix is a website design and digital marketing company that focuses on business growth through technology. It offers search engine optimization, social networking development tools, e-commerce services, open source Web development, blog integration",44,75,3300
"fb79c1faa23e6537889b8b58ca48fac5","brightcove",103100000,63600000,-39500000,0.62,"Provides cloud-based services for publishing and distributing professional digital media. Customers include the New York Times and General Motors.",71,45.07,3200
"08ea75d0b39da8eeca1e9129c770d3aa","speck-products",0,35500000,35500000,,"Designs and manufactures cases for iPods, cell phones, satellite radios, and Apple laptops.",87,36.78,3200
"40effe5288e80a75577c6fc058283632","webpagefx",0,2500000,2500000,,"Offers Internet marketing services to mid to large size companies worldwide. Provides customized marketing plans to meet the individual needs of its clients and strives to provide positive results by driving traffic and measuring effectiveness.",38,84.21,3200
"5fae06029bbe793553b81c6acafff692","big-nerd-ranch",0,5700000,5700000,,"Develops mobile applications and trains programmers in the company's mobile strategy. Works with some of the biggest companies in the world including Apple. Known for best-selling, how-to guides for nerds, Big Nerd Ranch applies a monastic retreat approac",38,81.58,3100
"597e595b22c7371d2769eb1fa0ffb269","livestream",12700000,12300000,-400000,0.97,"Enables live, streaming event coverage, allowing anyone to broadcast live to the Web. Its clients include Facebook, the New York Times, and TV networks.",287,10.8,3100
"bb00443be334273f59d3ef19d16e65de","granicus",10000000,10200000,200000,1.02,"Granicus offers webcasting services that enable its clients - schools, colleges, public access channels, and city and state governments - to deliver public meetings, service announcements, educational content, and video training through the Internet, live",42,66.67,2800
"c61e6a5dd61ef3ac28d02c864e889cab","digitalsmiths",31500000,6500000,-25000000,0.21,"Makes software in the rapidly growing niche of video search and recommendation. Its Seamless Discovery product increases the accuracy and ease with which end users find relevant, personalized entertainment across multiple channels and devices. Customers i",20,125,2500
"4b9962595d7ff850d591b39c008d8b8a","etouches",0,3300000,3300000,,"Develops an event management software platform that allows clients such as Dell and Goodwill Industries to plan, manage, and market their entire event portfolio. Etouches serves corporations, nonprofits, associations, educational institutions, and marketi",98,24.49,2400
"907373444553d8ee3bfe8778cdbe465b","uship",5000000,5400000,400000,1.08,"uShip facilitates the moving of hard-to-ship items, such as cars, furniture, pianos, boats, freight, and heavy equipment, connecting people and businesses with feedback-rated transporters. Carriers place competitive bids to win business, often filling ext",38,63.16,2400
"5fae06029bbe793553b81c6acac5bfdd","avepoint",0,98700000,98700000,,"Offers comprehensive and flexible infrastructure support for SharePoint data protection, replication, migration, administration, content lifecycle management, storage optimization, deployment management, compliance, and SharePoint-Salesforce.com integrati",51,45.1,2300
"5fae06029bbe793553b81c6acab1431b","atlantic-bt",0,12500000,12500000,,"Offers Web design, custom scripting, Web hosting, Internet marketing, and copy services to local, national, and international clients.",19,115.79,2200
"83097a0e1641e8eda5b5ac717e076b6c","location3-media",0,78700000,78700000,,"Specializes in directing Internet traffic to clients' websites.",32,68.75,2200
"5fae06029bbe793553b81c6acaabc7cc","astonish-results",0,11400000,11400000,,"Provides Web development and marketing services to help insurance agencies grow their internal business and generate leads through the tactical use of e-mail marketing, customer relationship management (CRM), social media construction and strategy, and se",24,83.33,2000
"5fae06029bbe793553b81c6acace656c","azavea",0,4200000,4200000,,"Azavea, formerly Avencia, develops custom software for mapping and geographic analysis used by commercial, government, and educational clients.",32,56.25,1800
"597e595b22c7371d2769eb1fa0df9734","lendio",8000000,8600000,600000,1.08,"Matches small business owners with the banks, lenders, and other funding sources most likely to underwrite their small business loans. If a company is not ready for a loan, Lendio offers services to prepare it for one, such as business plan analysis, fina",34,52.94,1800
"83097a0e1641e8eda5b5ac717e5c11ab","mediawhiz",0,129700000,129700000,,"Combines expertise in all forms of online marketing (display, search, social, email, affiliate, mobile, etc.), focusing on media ROI for a broad range of leading advertisers.",26,69.23,1800
"e054627bc6b1f1d8cb812cce426e1d35","operative",14500000,16000000,1500000,1.1,"Develops Software-as-a-Service-based platform and technology-enabled services and software designed to assist digital media companies in streamlining ad operation efforts. Companies can use its services and software to package, sell, traffic, manage, opti",22,81.82,1800
"08ea75d0b39da8eeca1e9129c7822e1e","spring-creek-group",0,4300000,4300000,,"Offers social media brand analytics, strategy, and marketing services for companies like CH2M Hill and LiveNation.com.",21,85.71,1800
"4b9962595d7ff850d591b39c0041fa58","eclinicalworks",0,695100000,695100000,,"Offers comprehensive electronic health records and practice management services, allowing medical practices to improve efficiency and enhance patient care regardless of practice size, specialty, or number of locations. More than 60,000 medical providers a",11,154.55,1700
"597e595b22c7371d2769eb1fa0d8a760","leapfrog-interactive",0,28000000,28000000,,"Provides Internet marketing services specializes in helping its clients build engaging, online brand interaction with consumers.",32,53.13,1700
"597e595b22c7371d2769eb1fa0e3b17a","levelwing",0,114900000,114900000,,"Mines and analyzes data to help businesses market and operate with greater clarity and profitability. Levelwing customizes its digital marketing services to grow and improve its clients' business through strategy development, creative, integrated marketin",19,89.47,1700
"83097a0e1641e8eda5b5ac717e389314","mapmyfitness",15500000,6200000,-9300000,0.4,"Operates a suite of social wellness-oriented websites and associated mobile and tablet applications including MapMyRUN.com and MapMyHIKE.com. MapMyFITNESS provides more than nine million runners, cyclists, walkers, and other fitness enthusiasts access to ",784,2.17,1700
"907373444553d8ee3bfe8778cdbbead5","usablenet",0,62600000,62600000,,"Translates its clients' existing website content and functionality to mobile Web and application interfaces. Major clients include ShopNBC, Amtrak, Delta, Expedia, FedEx, and Marks & Spencer.",36,44.44,1600
"5fae06029bbe793553b81c6aca88d09a","appliedtrust",0,5300000,5300000,,"Provides IT consulting services focused on the security, performance, and availability of system and network infrastructure for businesses in high technology, energy, utilities, financial services, education, government, and health care.",23,65.22,1500
"83097a0e1641e8eda5b5ac717ee2531c","mywedding",0,14700000,14700000,,"Connects engaged couples (and their guests) with local, national and international advertisers. As a business to business sales company, mywedding.com works alongside advertisers (such as Macys, Disney, and Starwood), connecting them to a highly intentio",38,39.47,1500
"c61e6a5dd61ef3ac28d02c864e88dc73","digitaria-interactive",0,15000000,15000000,,"Digitaria is an interactive marketing agency that offers Web development, optimization and analytics, creative services, and hosting and content management to clients such as NBC Universal, Warner Brothers, and the Atlanta Falcons. This year, Digitaria wo",47,29.79,1400
"e054627bc6b1f1d8cb812cce425c841c","onescreen",0,6300000,6300000,,"A digital video solutions partner with a full-service platform that includes content management, rights management, and syndication for producers, cross-platform video players, applications, and monetization for publishers, and advertising serving, target",21,66.67,1400
"907373444553d8ee3bfe8778cd2985df","the1stmovement",0,7200000,7200000,,"Digital agency that architects, designs and builds technology solutions for leading global brands in the healthcare, technology, travel and tourism and consumer good verticals. Clients include brands like Cisco, AT&T, Reebok, USOC, Adobe, PENTAX, DaVita, ",10,140,1400
"907373444553d8ee3bfe8778cd3e43e5","ticketleap",7497340,4700000,-2797340,0.63,"Provides an online exchange, integrated with social media, where tickets to concerts, theatre, and sporting events are bought and sold.",35,37.14,1300
"fb79c1faa23e6537889b8b58ca57d9b3","buildium",0,3400000,3400000,,"Develops and licenses online property management software with editions designed for private landlords, property management firms, homeowners associations and condominiums. This web-based software as a service allows landowners, residents and property man",16,75,1200
"83097a0e1641e8eda5b5ac717e84f022","mindbody",23000000,6000000,-17000000,0.26,"Delivers innovative business management software to nearly 18,000 subscribers in the health/wellness industry worldwide. The company's web-based software helps businesses increase annual sales by an average of 14% with features like online scheduling, sta",27,44.44,1200
"907373444553d8ee3bfe8778cd40e0a6","tigerspike",11000000,13600000,2600000,1.24,"Designs and develops personal media campaigns for publishing groups, telecommunications brands, retail outlets, government agencies and the fast-moving consumer goods sector. Focuses on reaching consumers and assisting enterprise staff members by creating",18,66.67,1200
"5fae06029bbe793553b81c6aca155798","acquirent",0,4000000,4000000,,"Provides outsourced sales for midsize companies as well as major corporations. Acquirent hires, trains, and manages sales teams to be a part of clients' sales infrastructure or their entire sales force.",24,45.83,1100
"4b9962595d7ff850d591b39c00ee5291","folica",0,27000000,27000000,,"Sells hair, nail, and other beauty products and supplies online to consumers and salons, at retail and wholesale prices.",18,61.11,1100
"907373444553d8ee3bfe8778cd833753","tubemogul",14500000,17800000,3300000,1.23,"Simplifies the delivery of video ads and maximizes the impact of advertising dollars spent by brand marketers by integrating real-time media buying, ad serving, targeting, optimization, and brand measurement into its PlayTime platform.",16,68.75,1100
"5fae06029bbe793553b81c6aca499942","ajax-union",0,2100000,2100000,,"A boutique Internet marketing firm that develops and implements strategies to enhance the online presence of its small and midsize business clients and help them outrank their larger competitors.",12,83.33,1000
"83097a0e1641e8eda5b5ac717e81d891","millennial-media",64800000,151500000,86700000,2.34,"Specializes in mobile advertising, helping publishers and developers to maximize ad revenue, mobile operators to further monetize their networks, and advertisers to reach mobile consumers.",29,34.48,1000
"08ea75d0b39da8eeca1e9129c7fa82f8","telenav",30000000,140700000,110700000,4.69,"TeleNav develops location-based applications for use on mobile devices, such as voice and onscreen GPS driving directions on cells and smartphones. It offers products in 29 countries with 15 carriers on more than 500 devices. TeleNav went public in May 20",17,58.82,1000
"5fae06029bbe793553b81c6acaa1be9b","arvixe",0,8100000,8100000,,"Hosts thousands of personal, small business, and enterprise websites.",9,100,900
"5fae06029bbe793553b81c6acaca979d","axcient",33500000,4300000,-29200000,0.13,"Offers a unified platform for protection of businesses' data that ensures backup, business continuity, and disaster recovery. The cloud-based service requires no infrastructure, license, or software costs, thereby eliminating capital expenditures and mini",19,47.37,900
"83097a0e1641e8eda5b5ac717e198aca","luggage-forward",0,5700000,5700000,,"Takes luggage to an individual's destination ahead of arrival, in locations throughout the world. Luggage Forward eliminates waiting in airport baggage lines, coming and going.",11,81.82,900
"e054627bc6b1f1d8cb812cce420faa13","new-media-strategies",0,7400000,7400000,,"Analyzes consumers' opinions of brands and products as expressed in chat rooms, blogs, and other online venues. New Media then helps customers--large marketers like McDonald's, Disney, and Reebok--spread the good word and defend against the bad.",21,42.86,900
"08ea75d0b39da8eeca1e9129c7828eca","springboard",0,5400000,5400000,,"Places radiation/oncology and radiology professionals on a contract and permanent basis at hospitals and cancer centers nationwide.",18,50,900
"4b9962595d7ff850d591b39c00edc369","fog-creek-software",0,3000000,3000000,,"Develops Web-based software, mostly for use within the software industry itself, allowing teams to coordinate tasks.",24,33.33,800
"597e595b22c7371d2769eb1fa0e6530d","liazon",30800000,4500000,-26300000,0.15,"Operates an online benefits exchange for small and midsize businesses. Its flagship product, the Bright Choices Exchange, is an online benefits store that helps employers save on average 10 percent to 30 percent annually on their health care costs by sett",6,133.33,800
"83097a0e1641e8eda5b5ac717e4a8d02","max-borges-agency",0,2200000,2200000,,"A PR firm for the tech sector that focuses exclusively on consumer electronics and enterprise technology. Clients include 4moms and Ballistic.",11,72.73,800
"08ea75d0b39da8eeca1e9129c7a630db","strikeiron",12840000,3100000,-9740000,0.24,"Provides data and communication via its cloud platform for a variety of applications. It supplies bulk text messaging marketing from business to customer. It has an application for real-time sales tax calculations for online shopping carts. Products are d",6,133.33,800
"5fae06029bbe793553b81c6aca156c36","acquity-group",0,190000000,190000000,,"Offers digital marketing services in strategy, design, and technology to create unique experiences to build its clients' customer relationships. Customers include the New York Philharmonic and American Airlines.",5,140,700
"fb79c1faa23e6537889b8b58ca46a1c2","brickhouse-security",0,29100000,29100000,,"BrickHouse Security provides security, safety, and surveillance products from locks, cameras, and baby monitors to tracking devices, night vision goggles, stun guns, and spy gear. Its customers are consumers, businesses of all sizes, and government agenci",14,50,700
"c61e6a5dd61ef3ac28d02c864e58dff9","datto",0,8800000,8800000,,"Provides hardware-based on-site and offsite backup, disaster recovery, and business continuity services for municipalities, small businesses, and organizations in education, health care, retail, law, and financial services.",11,63.64,700
"08ea75d0b39da8eeca1e9129c7aefe56","successfactors",0,32600000,32600000,,"Provides performance management software solutions.",37,18.92,700
"08ea75d0b39da8eeca1e9129c7fdb752","telovations",6500000,9800000,3300000,1.51,"Designs, builds, and manages advanced communications networks for businesses.",39,17.95,700
"fb79c1faa23e6537889b8b58ca398ad5","boston-technologies",3225000,14700000,11475000,4.56,"Specializes in foreign exchange (FX) trading technology, software, support, transaction processing services, and liquidity access for FX retail brokers, institutional traders, small to medium size hedge funds, and other institutional FX market participant",5,120,600
"4b9962595d7ff850d591b39c00bbba73","fashionphile",0,4000000,4000000,,"Fashionphile is a family-owned company that resells second-hand handbags from Louis Vuitton, Chanel, Gucci, and other luxury designers. Founder Sarah Davis started the company as a way to pay off her law school loans.",33,18.18,600
"5885c8f942b2d53de0f9ff90e163a8b2","red-clay-interactive",0,2100000,2100000,,"Red Clay Interactive provides internet marketing, as well as web design and application development.",9,66.67,600
"08ea75d0b39da8eeca1e9129c7a5f1c6","stride",0,32300000,32300000,,"Manufactures and sells writing instruments and other office products. The company has a mission of employing people with developmental disabilities.",6,100,600
"40effe5288e80a75577c6fc058000d12","vocalocity",8000000,48600000,40600000,6.08,"Ensures higher quality VoIP services through proprietary technology that differentiates it from traditional VoIP providers. With cloud-based connectivity, businesses can work from anywhere while enjoying features that deliver large enterprise visibility a",17,35.29,600
"5fae06029bbe793553b81c6aca55ea5c","allegiance",17700000,11200000,-6500000,0.63,"Allegiance provides Voice-of-the-Customer (VOC) and Enterprise Feedback Management (EFM) services for organizations. The Allegiance Engage platform is a feedback system that collects and analyzes the voices of customers and employees through multiple chan",10,50,500
"fb79c1faa23e6537889b8b58ca35d259","boomtown",0,6800000,6800000,,"A Web-based software company specializing in a marketing system for real estate professionals. The platform includes a customized real estate website integrated with local MLS (multiple listing service) data, personalized online advertising campaigns, and",14,35.71,500
"4b9962595d7ff850d591b39c0000eb8b","direct-incorporation",0,2500000,2500000,,"Direct Incorporation assists small businesses and entrepreneurs with their basic start-up needs.",2,250,500
"bb00443be334273f59d3ef19d19eb88f","health-dialog",0,179300000,179300000,,"Provides health-care management and analytical services for large employers, provider groups, and government programs.",4,125,500
"83097a0e1641e8eda5b5ac717ea30946","modea",0,9400000,9400000,,"Digital ad agency that offers strategic, marketing, creative, and technology services to consumer brands such as Hasbro and T-Mobile.",14,35.71,500
"e054627bc6b1f1d8cb812cce4291378c","palo-alto-networks",64600000,185100000,120500000,2.87,"Develops a software platform that allows enterprises, service providers, and government entities to secure their networks and safely enable the large number of complex applications running on them.",32,15.63,500
"907373444553d8ee3bfe8778cd58dcdc","touchstorm",0,4800000,4800000,,"Produces and distributes video advertising online for clients such as Autodesk and Travelocity. It specializes in making HD-quality, journalistic videos that have an editorial tone and appear in the center of the page rather than at the margins.",7,71.43,500
"40effe5288e80a75577c6fc0580d4739","w3i",0,26800000,26800000,,"W3i provides digital fee-based and ad-supported marketing services to Internet media companies, direct marketers, e-commerce companies, and others. It combines the traffic of multiple Web properties, including Freeze.com, Ringtone.com, ScreenSaver.com, an",13,38.46,500
"5fae06029bbe793553b81c6acaa81b34","aspen-marketing-services",0,556000000,556000000,,"Provides marketing services, integrating traditional marketing with digital and emerging channels.",10,40,400
"fb79c1faa23e6537889b8b58ca22ac75","blue-fountain-media",0,16500000,16500000,,"A full-service digital agency that offers Web design and development, online marketing, and online business strategy consulting services. Other services include branding, application development, online reputation management, and copywriting. CEO Gabriel ",19,21.05,400
"4b9962595d7ff850d591b39c007ebfb0","epocrates",35000000,35700000,700000,1.02,"Provides drug reference tools and other interactive services used on mobile devices by health care professionals to help them make more informed prescribing decisions, enhance patient safety, and improve practice productivity. Its user network of more tha",5,80,400
"4b9962595d7ff850d591b39c00a23cf7","exinda",18000000,17300000,-700000,0.96,"Makes software that enables users to see, control, accelerate, and optimize the traffic on their wide area networks (WANs), which helps network managers maximize network resources, control operational costs, and improve user experience.",14,28.57,400
"4b9962595d7ff850d591b39c00be26d3","fastspring",0,92800000,92800000,,"Makes software that streamlines e-commerce for merchants of downloadable and subscription-based products and services such as downloadable software, software-as-a-service, Web 2.0 services, games, and e-books. The company offers customized, hosted order p",4,100,400
"4b9962595d7ff850d591b39c00fc8bb1","four-winds-interactive",0,42700000,42700000,,"Creates digital LCD, plasma, and LED display signage featuring media playback, sophisticated data integration, digital wayfinding, and interactivity. Its displays are used in numerous applications, including digital donor walls, flight arrivals and depart",3,133.33,400
"83097a0e1641e8eda5b5ac717eb75135","motivequest",0,3300000,3300000,,"A consumer research and consulting company. It consults with clients regarding emerging consumer trends online and with major brand leaders in the national corporate marketplace.",4,100,400
"83097a0e1641e8eda5b5ac717ed31c33","mybuys",32800000,23100000,-9700000,0.7,"Helps retailers increase the effectiveness of their marketing strategy by learning individual consumers tendencies and interests, then using this intelligence to present these shoppers with optimized recommendations and offers.",12,33.33,400
"907373444553d8ee3bfe8778cd2e643f","theplatform",8000000,8400000,400000,1.05,"Makes software that allows the owners of digital media content to distribute it in popular formats such as Windows Media, Flash, and MPEG-4 via wireless or broadband networks, to all sorts of devices, from PCs and TVs to cell phones.",6,66.67,400
"40effe5288e80a75577c6fc0580685eb","votigo",1265000,3300000,2035000,2.61,"Develops a technology platform that allows businesses to attract and engage their audiences on all social media channels. Its social marketing suite features promotions and marketing applications, Social Conversation Manager, and enhanced insights and ana",7,57.14,400
"5fae06029bbe793553b81c6aca782f29","answerlab",0,2500000,2500000,,"Conducts custom user-experience research to improve websites, software, and mobile applications.Its customers include Amazon.com, PayPal, Honda, ING DIRECT, ESPN, FedEx, Genentech, eBay, Salesforce.com, Amgen, Intuit and Harley Davidson.",2,150,300
"bb00443be334273f59d3ef19d137fe6f","geomagic",8000000,21100000,13100000,2.64,"Geomagic is a software company that designs 3D modeling and inspection software to aid in data imaging and transport.",11,27.27,300
"83097a0e1641e8eda5b5ac717e1a4316","lumension",0,144600000,144600000,,"Lumension sells data protection software for corporate, government, and international clients, including NASA, Virgin Atlantic, and Google.",11,27.27,300
"83097a0e1641e8eda5b5ac717e5a0ee2","mediamath",26876550,77700000,50823450,2.89,"Operates the TerminalOne platform, which allows agencies and advertisers to plan, execute, optimize, and analyze marketing programs across the digital landscape.",5,60,300
